FileName,Color,Number,Frequency,Amplitude,Angle,Point,E,EI
'blue2_45_A10_f5_00_trial005.h5',blue,2,5,10,45,1,6843545.664,0.029572124
'blue2_45_A2_f1_00_trial020.h5',blue,2,1,2.5,45,1,468468.4294,0.002024332
'blue2_45_A2_f2_00_trial019.h5',blue,2,2,2.5,45,1,1190611.82,0.005144836
'blue2_45_A2_f3_00_trial018.h5',blue,2,3,2.5,45,1,2341872.025,0.010119627
'blue2_45_A2_f4_00_trial017.h5',blue,2,4,2.5,45,1,4229702.13,0.018277262
'blue2_45_A2_f5_00_trial016.h5',blue,2,5,2.5,45,1,7043549.206,0.030436373
'blue2_45_A5_f1_00_trial011.h5',blue,2,1,5,45,1,619052.524,0.002675031
'blue2_45_A5_f2_00_trial012.h5',blue,2,2,5,45,1,1288772.566,0.005569005
'blue2_45_A5_f3_00_trial013.h5',blue,2,3,5,45,1,2434863.862,0.01052146
'blue2_45_A5_f4_00_trial014.h5',blue,2,4,5,45,1,4151179.581,0.017937952
'blue2_45_A5_f5_00_trial015.h5',blue,2,5,5,45,1,6941137.719,0.029993835
'blue2_45_A8_f1_00_trial010.h5',blue,2,1,7.5,45,1,651932.4097,0.002817111
'blue2_45_A8_f2_00_trial009.h5',blue,2,2,7.5,45,1,1323601.376,0.005719506
'blue2_45_A8_f3_00_trial008.h5',blue,2,3,7.5,45,1,2460148.964,0.010630722
'blue2_45_A8_f4_00_trial007.h5',blue,2,4,7.5,45,1,4219522.319,0.018233273
'blue2_45_A8_f5_00_trial006.h5',blue,2,5,7.5,45,1,6951305.893,0.030037774
'blue3_45_A10_f1_00_trial020.h5',blue,3,1,10,45,1,-1177325.65,-0.00648143
'blue3_45_A10_f2_00_trial019.h5',blue,3,2,10,45,1,-631035.3977,-0.003473985
'blue3_45_A10_f3_00_trial018.h5',blue,3,3,10,45,1,157295.6797,0.000865946
'blue3_45_A10_f4_00_trial017.h5',blue,3,4,10,45,1,1308808.917,0.007205274
'blue3_45_A10_f5_00_trial016.h5',blue,3,5,10,45,1,3201737.859,0.017626254
'blue3_45_A2_f1_00_trial001.h5',blue,3,1,2.5,45,1,-1074973.142,-0.005917958
'blue3_45_A2_f2_00_trial002.h5',blue,3,2,2.5,45,1,-515605.6113,-0.00283852
'blue3_45_A2_f3_00_trial003.h5',blue,3,3,2.5,45,1,327386.134,0.001802331
'blue3_45_A2_f4_00_trial004.h5',blue,3,4,2.5,45,1,1710965.073,0.00941923
'blue3_45_A2_f5_00_trial005.h5',blue,3,5,2.5,45,1,3689742.181,0.020312823
'blue3_45_A5_f1_00_trial010.h5',blue,3,1,5,45,1,-1068618.523,-0.005882974
'blue3_45_A5_f2_00_trial009.h5',blue,3,2,5,45,1,-522474.2481,-0.002876333
'blue3_45_A5_f3_00_trial008.h5',blue,3,3,5,45,1,318494.7922,0.001753382
'blue3_45_A5_f4_00_trial007.h5',blue,3,4,5,45,1,1513947.923,0.008334608
'blue3_45_A5_f5_00_trial006.h5',blue,3,5,5,45,1,3462017.394,0.019059149
'blue3_45_A8_f1_00_trial011.h5',blue,3,1,7.5,45,1,-1101028.766,-0.0060614
'blue3_45_A8_f2_00_trial012.h5',blue,3,2,7.5,45,1,-572577.3073,-0.003152161
'blue3_45_A8_f3_00_trial013.h5',blue,3,3,7.5,45,1,223782.2871,0.00123197
'blue3_45_A8_f4_00_trial014.h5',blue,3,4,7.5,45,1,1396513.916,0.007688109
'blue3_45_A8_f5_00_trial015.h5',blue,3,5,7.5,45,1,3340205.373,0.018388548
'pink1_2_55_A10_f1_00_trial020.h5',pink,1,1,10,55,1,2220490.305,0.011483973
'pink1_2_55_A10_f2_00_trial019.h5',pink,1,2,10,55,1,2613670.116,0.013517428
'pink1_2_55_A10_f3_00_trial018.h5',pink,1,3,10,55,1,3370010.071,0.017429081
'pink1_2_55_A10_f4_00_trial017.h5',pink,1,4,10,55,1,4601557.523,0.023798422
'pink1_2_55_A10_f5_00_trial016.h5',pink,1,5,10,55,1,6660946.097,0.034449206
'pink1_2_55_A2_f1_00_trial001.h5',pink,1,1,2.5,55,1,2810937.624,0.01453766
'pink1_2_55_A2_f2_00_trial002.h5',pink,1,2,2.5,55,1,3164547.422,0.016366466
'pink1_2_55_A2_f3_00_trial003.h5',pink,1,3,2.5,55,1,3989581.384,0.020633392
'pink1_2_55_A2_f4_00_trial004.h5',pink,1,4,2.5,55,1,5259599.767,0.027201697
'pink1_2_55_A2_f5_00_trial005.h5',pink,1,5,2.5,55,1,7280728.677,0.037654609
'pink1_2_55_A5_f1_00_trial010.h5',pink,1,1,5,55,1,2680518.602,0.013863156
'pink1_2_55_A5_f2_00_trial009.h5',pink,1,2,5,55,1,3110773.679,0.016088358
'pink1_2_55_A5_f3_00_trial008.h5',pink,1,3,5,55,1,3906891.402,0.020205734
'pink1_2_55_A5_f4_00_trial007.h5',pink,1,4,5,55,1,5195852.759,0.026872009
'pink1_2_55_A5_f5_00_trial006.h5',pink,1,5,5,55,1,7244704.63,0.037468299
'pink1_2_55_A8_f1_00_trial011.h5',pink,1,1,7.5,55,1,2652791.856,0.013719759
'pink1_2_55_A8_f2_00_trial012.h5',pink,1,2,7.5,55,1,3003139.405,0.015531693
'pink1_2_55_A8_f3_00_trial013.h5',pink,1,3,7.5,55,1,3753794.714,0.019413946
'pink1_2_55_A8_f4_00_trial014.h5',pink,1,4,7.5,55,1,5004915.723,0.025884517
'pink1_2_55_A8_f5_00_trial015.h5',pink,1,5,7.5,55,1,6842308.269,0.035387178
'pink2_55_A10_f1_00_trial020.h5',pink,2,1,10,55,1,635630.8301,0.003654784
'pink2_55_A10_f2_00_trial019.h5',pink,2,2,10,55,1,1147810.702,0.006599744
'pink2_55_A10_f3_00_trial018.h5',pink,2,3,10,55,1,1868332.538,0.010742639
'pink2_55_A10_f4_00_trial017.h5',pink,2,4,10,55,1,2857917.498,0.016432608
'pink2_55_A10_f5_00_trial016.h5',pink,2,5,10,55,1,4466342.55,0.025680817
'pink2_55_A2_f1_00_trial001.h5',pink,2,1,2.5,55,1,695042.533,0.003996393
'pink2_55_A2_f2_00_trial002.h5',pink,2,2,2.5,55,1,1294659.572,0.007444103
'pink2_55_A2_f3_00_trial003.h5',pink,2,3,2.5,55,1,1996662.701,0.011480519
'pink2_55_A2_f4_00_trial004.h5',pink,2,4,2.5,55,1,3125099.839,0.017968868
'pink2_55_A2_f5_00_trial005.h5',pink,2,5,2.5,55,1,4856451.45,0.027923886
'pink2_55_A5_f1_00_trial010.h5',pink,2,1,5,55,1,673473.9973,0.003872377
'pink2_55_A5_f2_00_trial009.h5',pink,2,2,5,55,1,1223785.996,0.007036591
'pink2_55_A5_f3_00_trial008.h5',pink,2,3,5,55,1,1990616.781,0.011445756
'pink2_55_A5_f4_00_trial007.h5',pink,2,4,5,55,1,3006266.496,0.017285593
'pink2_55_A5_f5_00_trial006.h5',pink,2,5,5,55,1,4694553.209,0.026992995
'pink2_55_A8_f1_00_trial011.h5',pink,2,1,7.5,55,1,705144.4355,0.004054478
'pink2_55_A8_f2_00_trial012.h5',pink,2,2,7.5,55,1,1194721.121,0.006869472
'pink2_55_A8_f3_00_trial013.h5',pink,2,3,7.5,55,1,1942142.285,0.011167034
'pink2_55_A8_f4_00_trial014.h5',pink,2,4,7.5,55,1,2941035.997,0.016910527
'pink2_55_A8_f5_00_trial015.h5',pink,2,5,7.5,55,1,4566752.595,0.02625816
'pink3_55_A10_f1_00_trial005.h5',pink,3,1,10,55,1,-207304.39,-0.001008938
'pink3_55_A10_f2_00_trial004.h5',pink,3,2,10,55,1,34845.29252,0.00016959
'pink3_55_A10_f3_00_trial003.h5',pink,3,3,10,55,1,499386.4454,0.002430483
'pink3_55_A10_f4_00_trial002.h5',pink,3,4,10,55,1,1336130.464,0.006502864
'pink3_55_A10_f5_00_trial001.h5',pink,3,5,10,55,1,2800749.253,0.013631072
'pink3_55_A2_f1_00_trial016.h5',pink,3,1,2.5,55,1,-353800.8954,-0.001721927
'pink3_55_A2_f2_00_trial017.h5',pink,3,2,2.5,55,1,-208311.4204,-0.001013839
'pink3_55_A2_f3_00_trial018.h5',pink,3,3,2.5,55,1,263491.26,0.001282396
'pink3_55_A2_f4_00_trial019.h5',pink,3,4,2.5,55,1,1129011.876,0.00549483
'pink3_55_A2_f5_00_trial020.h5',pink,3,5,2.5,55,1,2388488.213,0.011624623
'pink3_55_A5_f1_00_trial015.h5',pink,3,1,5,55,1,-299508.3507,-0.001457688
'pink3_55_A5_f2_00_trial014.h5',pink,3,2,5,55,1,-82002.17598,-0.000399099
'pink3_55_A5_f3_00_trial013.h5',pink,3,3,5,55,1,405725.8933,0.001974643
'pink3_55_A5_f4_00_trial012.h5',pink,3,4,5,55,1,1108503.958,0.00539502
'pink3_55_A5_f5_00_trial011.h5',pink,3,5,5,55,1,2573693.229,0.012526004
'pink3_55_A8_f1_00_trial006.h5',pink,3,1,7.5,55,1,-207837.869,-0.001011534
'pink3_55_A8_f2_00_trial007.h5',pink,3,2,7.5,55,1,10593.06956,5.16E-05
'pink3_55_A8_f3_00_trial008.h5',pink,3,3,7.5,55,1,452931.136,0.002204388
'pink3_55_A8_f4_00_trial009.h5',pink,3,4,7.5,55,1,1252963.564,0.006098095
'pink3_55_A8_f5_00_trial010.h5',pink,3,5,7.5,55,1,2688188.6,0.013083246
